method,seed,episodes,progress,opponent,mean_reward
DeepCFR,0,560,0.05,CFR100,-0.6994398159537523
DeepCFR,0,560,0.05,CFR500,-0.658832748795201
DeepCFR,0,560,0.05,CFR1000,-0.6183226411173786
DeepCFR,0,560,0.05,CFR2000,-0.6133015383270216
DeepCFR,0,1120,0.1,CFR100,-0.8114613627130993
DeepCFR,0,1120,0.1,CFR500,-0.6496811262553079
DeepCFR,0,1120,0.1,CFR1000,-0.5925134405937557
DeepCFR,0,1120,0.1,CFR2000,-0.5770163083623459
DeepCFR,0,1680,0.15,CFR100,-0.81878674035892
DeepCFR,0,1680,0.15,CFR500,-0.6387176926952725
DeepCFR,0,1680,0.15,CFR1000,-0.5936919018446997
DeepCFR,0,1680,0.15,CFR2000,-0.5700978195404336
DeepCFR,0,2240,0.2,CFR100,-0.6120867775532794
DeepCFR,0,2240,0.2,CFR500,-0.5132524441364543
DeepCFR,0,2240,0.2,CFR1000,-0.4796672570170957
DeepCFR,0,2240,0.2,CFR2000,-0.45922683109685086
DeepCFR,0,2800,0.25,CFR100,-0.465304189470299
DeepCFR,0,2800,0.25,CFR500,-0.41009985855460324
DeepCFR,0,2800,0.25,CFR1000,-0.38537752089618693
DeepCFR,0,2800,0.25,CFR2000,-0.3708130702247593
DeepCFR,0,3360,0.3,CFR100,-0.34697706492816266
DeepCFR,0,3360,0.3,CFR500,-0.3203756236640702
DeepCFR,0,3360,0.3,CFR1000,-0.303680638555647
DeepCFR,0,3360,0.3,CFR2000,-0.2899514893969956
DeepCFR,0,3920,0.35,CFR100,-0.283672185274412
DeepCFR,0,3920,0.35,CFR500,-0.2691453429396893
DeepCFR,0,3920,0.35,CFR1000,-0.2614940101738839
DeepCFR,0,3920,0.35,CFR2000,-0.24790752009413522
DeepCFR,0,4480,0.4,CFR100,-0.2260040892654196
DeepCFR,0,4480,0.4,CFR500,-0.22554082428005362
DeepCFR,0,4480,0.4,CFR1000,-0.21958268071927084
DeepCFR,0,4480,0.4,CFR2000,-0.2153047653577303
DeepCFR,0,5040,0.45,CFR100,-0.17110042228440175
DeepCFR,0,5040,0.45,CFR500,-0.18940401021240835
DeepCFR,0,5040,0.45,CFR1000,-0.18664050457609915
DeepCFR,0,5040,0.45,CFR2000,-0.1831804561290272
DeepCFR,0,5600,0.5,CFR100,-0.16007633971825594
